year,비인기곡,인기곡
2005,77.27272727272727,22.727272727272727
2006,67.85714285714286,32.142857142857146
2007,80.0,20.0
2008,70.09345794392523,29.906542056074763
2009,70.1923076923077,29.807692307692307
2010,70.70707070707071,29.292929292929294
2011,74.5,25.5
2012,69.1891891891892,30.810810810810814
2013,75.51020408163265,24.489795918367346
2014,64.23841059602648,35.76158940397351
2015,68.10551558752998,31.894484412470025
2016,69.4308943089431,30.569105691056908
2017,52.11538461538462,47.88461538461539
2018,45.61128526645768,54.38871473354232
2019,38.88888888888889,61.111111111111114
2020,29.697986577181208,70.30201342281879
2021,27.4888558692422,72.5111441307578
2022,32.685512367491164,67.31448763250883
2023,39.884393063583815,60.115606936416185
2024,42.922374429223744,57.077625570776256
